# ============================================================
#  WORDS.TXT  —  Kelime veri dosyası
# ============================================================
#  Format (her satır bir kelime, alanlar  |  ile ayrılır):
#
#  kelime | tür | türkçe anlamı | örnek cümle (hedef kelime {süslü parantez} içinde) | cümlenin türkçesi
#
#  - # ile başlayan satırlar ve boş satırlar yok sayılır.
#  - Örnek cümlede ezberlenecek kelimeyi {süslü parantez} içine al.
#    Uygulama o kelimeyi cümleden çıkarıp boşluk bırakır, sen elinle yazarsın.
#  - Detaylı açıklama için README.md dosyasına bak.
# ============================================================

vow | fiil / isim | yemin etmek, söz vermek | She made a {vow} to never give up. | Asla vazgeçmemeye yemin etti.
greed | isim | açgözlülük | {Greed} was his biggest downfall. | Açgözlülük en büyük çöküşüydü.
grief | isim | yas, derin keder | She was overcome with {grief} after his death. | Onun ölümünden sonra büyük bir yasa boğuldu.
mourn | fiil | yas tutmak | The whole country {mourned} the loss. | Tüm ülke kaybın yasını tuttu.
diligence | isim | özen, çalışkanlık | His success came through {diligence}. | Başarısı çalışkanlıkla geldi.
reputation | isim | itibar, şöhret | He had a {reputation} for being ruthless. | Acımasız olmakla ün salmıştı.
integrity | isim | dürüstlük, bütünlük | She never compromised her {integrity}. | Dürüstlüğünden asla ödün vermedi.
humble | sıfat | alçakgönüllü, mütevazı | Despite his fame, he remained {humble}. | Şöhretine rağmen mütevazı kaldı.
immoral | sıfat | ahlaksız | His behavior was considered deeply {immoral}. | Davranışı son derece ahlaksız bulundu.
prevail | fiil | galip gelmek, üstün gelmek | Justice will always {prevail}. | Adalet her zaman galip gelir.
bizarre | sıfat | tuhaf, garip | It was a truly {bizarre} situation. | Gerçekten tuhaf bir durumdu.
implore | fiil | yalvarmak, rica etmek | She {implored} him not to leave. | Gitmemesi için ona yalvardı.
interrogate | fiil | sorgulamak | The detective {interrogated} the suspect for hours. | Dedektif şüpheliyi saatlerce sorguladı.
compassion | isim | şefkat, merhamet | She showed great {compassion} toward the poor. | Yoksullara büyük şefkat gösterdi.
gullible | sıfat | kolay kandırılır, saf | He was too {gullible} to see the trap. | Tuzağı görmeyecek kadar saftı.
malice | isim | kötü niyet, kin | She acted with clear {malice}. | Açık bir kötü niyetle hareket etti.
endure | fiil | dayanmak, katlanmak | They had to {endure} months of hardship. | Aylarca zorluğa katlanmak zorunda kaldılar.
conscience | isim | vicdan | His {conscience} wouldn't let him lie. | Vicdanı yalan söylemesine izin vermedi.
cruelty | isim | zalimlik, acımasızlık | The {cruelty} of the punishment shocked everyone. | Cezanın zalimliği herkesi şoke etti.
eager | sıfat | hevesli, istekli | She was {eager} to start her new job. | Yeni işine başlamak için hevesliydi.
haste | isim | acele, telaş | In his {haste}, he forgot his keys. | Acelesiyle anahtarlarını unuttu.
dignity | isim | onur, haysiyet | She faced the criticism with great {dignity}. | Eleştiriye büyük bir onurla göğüs gerdi.
